
[1/4] Loading dataset …
Processing...
  Category filter: ['Bench_vice', 'C_Clamps', 'Pipe_vice', 'Gate_Valve', 'Press_Tool', 'Tool_Post', 'Crane_hook']
  749 STEP files after category filter
  Found 749 STEP file(s) in /Users/mbp/Documents/MTECH/Sem4/Individual_project/AI_Assisted_3D_Assembly_Design/AI-Assisted-3D-Assembly-Design/Source_3d_models/Best_models_for_training
  [71/749] [CACHED] Bench_Vice_58/Bench_Vice_58.stp — 6 nodes
  [72/749] [CACHED] Bench_Vice_59/Bench_Vice_59.STEP — 97 nodes
  [73/749] [CACHED] Bench_Vice_60/Bench_Vice_60.stp — 24 nodes
  [74/749] [CACHED] Bench_Vice_61/Bench_Vice_61.stp — 48 nodes
  [75/749] [CACHED] Bench_Vice_65/Bench_Vice_65.stp — 28 nodes
  [76/749] [CACHED] Bench_Vice_66/Bench_Vice_66.step — 26 nodes
  [77/749] [CACHED] Bench_Vice_67/Bench_Vice_67.stp — 26 nodes
  [78/749] [CACHED] Bench_Vice_68/Bench_Vice_68.stp — 24 nodes
  [79/749] [CACHED] Bench_Vice_69/Bench_Vice_69.stp — 22 nodes
  [80/749] [CACHED] Bench_Vice_72/Bench_Vice_72.stp — 25 nodes
  [81/749] [CACHED] Bench_Vice_73/Bench_Vice_73.stp — 2 nodes
  [82/749] [CACHED] Bench_Vice_74/Bench_Vice_74.stp — 15 nodes
  [83/749] [CACHED] Bench_Vice_75/Bench_Vice_75.STEP — 33 nodes
  [84/749] [CACHED] Bench_Vice_76/Bench_Vice_76.stp — 37 nodes
  [85/749] [CACHED] Bench_Vice_77/Bench_Vice_77.STEP — 6 nodes
  [86/749] [CACHED] Bench_Vice_78/Bench_Vice_78.STEP — 35 nodes
  [87/749] [CACHED] Bench_Vice_79/Bench_Vice_79.STEP — 19 nodes
  [88/749] [CACHED] Bench_Vice_80/Bench_Vice_80.STEP — 16 nodes
  [89/749] [CACHED] Bench_Vice_81/Bench_Vice_81.stp — 36 nodes
  [90/749] [CACHED] Bench_Vice_82/Bench_Vice_82.stp — 41 nodes
  [91/749] [CACHED] Bench_Vice_83/Bench_Vice_83.STEP — 26 nodes
  [92/749] [CACHED] Bench_Vice_84/Bench_Vice_84.step — 34 nodes
  [93/749] [CACHED] Bench_Vice_85/Bench_Vice_85.STEP — 47 nodes
  [94/749] [CACHED] Bench_Vice_86/Bench_Vice_86.stp — 17 nodes
  [95/749] [CACHED] Bench_Vice_87/Bench_Vice_87.STEP — 12 nodes
  [96/749] [SKIPPED] Bench_Vice_88/Bench_Vice_88.step (CACHED_ONLY=1, no cache entry)
  [97/749] [CACHED] Bench_Vice_89/Bench_Vice_89.stp — 24 nodes
  [98/749] [CACHED] Bench_Vice_90/Bench_Vice_90.STEP — 20 nodes
  [99/749] [CACHED] Bench_Vice_91/Bench_Vice_91.stp — 43 nodes
  [100/749] [CACHED] Bench_Vice_92/Bench_Vice_92.STEP — 29 nodes
  [101/749] [CACHED] Bench_Vice_93/Bench_Vice_93.STEP — 24 nodes
  [102/749] [CACHED] Bench_Vice_94/Bench_Vice_94.STEP — 25 nodes
  [103/749] [CACHED] Bench_Vice_95/Bench_Vice_95.stp — 19 nodes
  [104/749] [CACHED] Bench_Vice_96/Bench_Vice_96.stp — 21 nodes
  [105/749] [CACHED] Bench_Vice_97/Bench_Vice_97.STEP — 12 nodes
  [106/749] [CACHED] Bench_Vice_98/Bench_Vice_98.stp — 23 nodes
  [107/749] [CACHED] Bench_Vice_99/Bench_Vice_99.stp — 27 nodes
  [108/749] [CACHED] C_Clamps_01/C_Clamps_01.stp — 8 nodes
