
[1/4] Loading dataset …
Processing...
  Category filter: ['Bench_vice', 'C_Clamps', 'Pipe_vice', 'Gate_Valve', 'Press_Tool', 'Tool_Post', 'Crane_hook']
  749 STEP files after category filter
  Found 749 STEP file(s) in /Users/mbp/Documents/MTECH/Sem4/Individual_project/AI_Assisted_3D_Assembly_Design/AI-Assisted-3D-Assembly-Design/Source_3d_models/Best_models_for_training
    batch 26/80
    [swap-guard] 91.9% swap used (batch 27/80) -- pausing 3s for extra cleanup
    [swap-guard] 95.4% swap used (batch 30/80) -- pausing 3s for extra cleanup
    batch 31/80
    [swap-guard] 93.1% swap used (batch 33/80) -- pausing 3s for extra cleanup
    batch 36/80
    [swap-guard] 93.2% swap used (batch 36/80) -- pausing 3s for extra cleanup
    [swap-guard] 94.1% swap used (batch 39/80) -- pausing 3s for extra cleanup
    batch 41/80
    [swap-guard] 95.7% swap used (batch 42/80) -- pausing 3s for extra cleanup
    [swap-guard] 94.9% swap used (batch 45/80) -- pausing 3s for extra cleanup
    batch 46/80
    [swap-guard] 93.1% swap used (batch 48/80) -- pausing 3s for extra cleanup
    batch 51/80
    [swap-guard] 95.4% swap used (batch 51/80) -- pausing 3s for extra cleanup
    batch 56/80
    [swap-guard] 94.8% swap used (batch 57/80) -- pausing 3s for extra cleanup
    [swap-guard] 93.7% swap used (batch 60/80) -- pausing 3s for extra cleanup
    batch 61/80
    [swap-guard] 93.6% swap used (batch 63/80) -- pausing 3s for extra cleanup
    batch 66/80
    [swap-guard] 98.0% swap used (batch 66/80) -- pausing 3s for extra cleanup
    [swap-guard] 90.1% swap used (batch 69/80) -- pausing 3s for extra cleanup
    batch 71/80
    [swap-guard] 94.9% swap used (batch 72/80) -- pausing 3s for extra cleanup
    [swap-guard] 93.7% swap used (batch 75/80) -- pausing 3s for extra cleanup
    batch 76/80
    [swap-guard] 91.9% swap used (epoch end) -- pausing 3s for extra cleanup
    [swap-guard] 94.5% swap used (fold 1 epoch 2 val) -- pausing 3s for extra cleanup
  Ep   2/200  loss=0.8174  AUC=0.6556  AP=0.6217  smoothAUC=0.6389  (562.2s)
  ✓ Fold 1 new best smoothed AUC=0.6389  saved.
    batch 1/77
    batch 6/77
    [swap-guard] 95.6% swap used (batch 6/77) -- pausing 3s for extra cleanup
    [swap-guard] 90.2% swap used (batch 9/77) -- pausing 3s for extra cleanup
    batch 11/77
    [swap-guard] 93.4% swap used (batch 12/77) -- pausing 3s for extra cleanup
    [swap-guard] 95.1% swap used (batch 15/77) -- pausing 3s for extra cleanup
    batch 16/77
    [swap-guard] 92.6% swap used (batch 18/77) -- pausing 3s for extra cleanup
    batch 21/77
    [swap-guard] 94.8% swap used (batch 21/77) -- pausing 3s for extra cleanup
    [swap-guard] 93.7% swap used (batch 24/77) -- pausing 3s for extra cleanup
    batch 26/77
    [swap-guard] 95.1% swap used (batch 27/77) -- pausing 3s for extra cleanup
    [swap-guard] 93.4% swap used (batch 30/77) -- pausing 3s for extra cleanup
    batch 31/77
    [swap-guard] 96.1% swap used (batch 33/77) -- pausing 3s for extra cleanup
    batch 36/77
    [swap-guard] 93.0% swap used (batch 36/77) -- pausing 3s for extra cleanup
    [swap-guard] 91.0% swap used (batch 39/77) -- pausing 3s for extra cleanup
    batch 41/77
    [swap-guard] 94.1% swap used (batch 42/77) -- pausing 3s for extra cleanup
    [swap-guard] 97.0% swap used (batch 45/77) -- pausing 3s for extra cleanup
    batch 46/77
    [swap-guard] 95.0% swap used (batch 48/77) -- pausing 3s for extra cleanup
    batch 51/77
    [swap-guard] 94.7% swap used (batch 51/77) -- pausing 3s for extra cleanup
    [swap-guard] 91.9% swap used (batch 54/77) -- pausing 3s for extra cleanup
    batch 56/77
    [swap-guard] 96.2% swap used (batch 57/77) -- pausing 3s for extra cleanup
    [swap-guard] 96.2% swap used (batch 60/77) -- pausing 3s for extra cleanup
    batch 61/77
    [swap-guard] 90.5% swap used (batch 63/77) -- pausing 3s for extra cleanup
    batch 66/77
    [swap-guard] 94.0% swap used (batch 66/77) -- pausing 3s for extra cleanup
    [swap-guard] 91.1% swap used (batch 69/77) -- pausing 3s for extra cleanup
    batch 71/77
    [swap-guard] 97.2% swap used (batch 72/77) -- pausing 3s for extra cleanup
    batch 76/77
    [swap-guard] 93.1% swap used (batch 78/77) -- pausing 3s for extra cleanup
    [swap-guard] 90.2% swap used (epoch end) -- pausing 3s for extra cleanup
    [swap-guard] 93.7% swap used (fold 1 epoch 3 val) -- pausing 3s for extra cleanup
  Ep   3/200  loss=0.7640  AUC=0.7260  AP=0.6787  smoothAUC=0.6679  (353.4s)
  ✓ Fold 1 new best smoothed AUC=0.6679  saved.
    batch 1/78
    [swap-guard] 97.5% swap used (batch 3/78) -- pausing 3s for extra cleanup
    batch 6/78
    [swap-guard] 93.3% swap used (batch 6/78) -- pausing 3s for extra cleanup
    [swap-guard] 90.1% swap used (batch 9/78) -- pausing 3s for extra cleanup
    batch 11/78
    [swap-guard] 96.9% swap used (batch 12/78) -- pausing 3s for extra cleanup
    [swap-guard] 95.6% swap used (batch 15/78) -- pausing 3s for extra cleanup
    batch 16/78
    [swap-guard] 90.5% swap used (batch 18/78) -- pausing 3s for extra cleanup
    batch 21/78
    [swap-guard] 94.3% swap used (batch 21/78) -- pausing 3s for extra cleanup
    [swap-guard] 91.4% swap used (batch 24/78) -- pausing 3s for extra cleanup
    batch 26/78
    [swap-guard] 97.3% swap used (batch 27/78) -- pausing 3s for extra cleanup
    [swap-guard] 96.7% swap used (batch 30/78) -- pausing 3s for extra cleanup
    batch 31/78
    [swap-guard] 93.4% swap used (batch 33/78) -- pausing 3s for extra cleanup
    batch 36/78
    [swap-guard] 95.2% swap used (batch 36/78) -- pausing 3s for extra cleanup
    [swap-guard] 95.5% swap used (batch 39/78) -- pausing 3s for extra cleanup
    batch 41/78
    [swap-guard] 97.2% swap used (batch 42/78) -- pausing 3s for extra cleanup
    [swap-guard] 96.0% swap used (batch 45/78) -- pausing 3s for extra cleanup
    batch 46/78
    [swap-guard] 97.1% swap used (batch 48/78) -- pausing 3s for extra cleanup
    batch 51/78
    [swap-guard] 96.6% swap used (batch 51/78) -- pausing 3s for extra cleanup
    batch 56/78
    [swap-guard] 98.6% swap used (batch 57/78) -- pausing 3s for extra cleanup
    [swap-guard] 95.3% swap used (batch 60/78) -- pausing 3s for extra cleanup
    batch 61/78
    [swap-guard] 93.4% swap used (batch 63/78) -- pausing 3s for extra cleanup
    batch 66/78
    [swap-guard] 95.7% swap used (batch 66/78) -- pausing 3s for extra cleanup
    [swap-guard] 95.1% swap used (batch 69/78) -- pausing 3s for extra cleanup
    batch 71/78
    [swap-guard] 95.5% swap used (batch 72/78) -- pausing 3s for extra cleanup
    [swap-guard] 96.0% swap used (batch 75/78) -- pausing 3s for extra cleanup
    batch 76/78
    [swap-guard] 90.7% swap used (batch 78/78) -- pausing 3s for extra cleanup
    [swap-guard] 92.1% swap used (epoch end) -- pausing 3s for extra cleanup
    [swap-guard] 94.9% swap used (fold 1 epoch 4 val) -- pausing 3s for extra cleanup
  Ep   4/200  loss=0.7255  AUC=0.7706  AP=0.7429  smoothAUC=0.7174  (425.5s)
  ✓ Fold 1 new best smoothed AUC=0.7174  saved.
    batch 1/78
    [swap-guard] 94.4% swap used (batch 3/78) -- pausing 3s for extra cleanup
    batch 6/78
    [swap-guard] 96.0% swap used (batch 6/78) -- pausing 3s for extra cleanup
    [swap-guard] 92.7% swap used (batch 9/78) -- pausing 3s for extra cleanup
    batch 11/78
    [swap-guard] 96.7% swap used (batch 12/78) -- pausing 3s for extra cleanup
    [swap-guard] 96.0% swap used (batch 15/78) -- pausing 3s for extra cleanup
    batch 16/78
    [swap-guard] 93.0% swap used (batch 18/78) -- pausing 3s for extra cleanup
    batch 21/78
    [swap-guard] 93.8% swap used (batch 21/78) -- pausing 3s for extra cleanup
    [swap-guard] 94.4% swap used (batch 24/78) -- pausing 3s for extra cleanup
    batch 26/78
    [swap-guard] 98.6% swap used (batch 27/78) -- pausing 3s for extra cleanup
    [swap-guard] 94.5% swap used (batch 30/78) -- pausing 3s for extra cleanup
    batch 31/78
    [swap-guard] 96.6% swap used (batch 33/78) -- pausing 3s for extra cleanup
    batch 36/78
    [swap-guard] 97.3% swap used (batch 36/78) -- pausing 3s for extra cleanup
    [swap-guard] 95.2% swap used (batch 39/78) -- pausing 3s for extra cleanup
    batch 41/78
    [swap-guard] 93.3% swap used (batch 42/78) -- pausing 3s for extra cleanup
    [swap-guard] 95.2% swap used (batch 45/78) -- pausing 3s for extra cleanup
    batch 46/78
    [swap-guard] 94.5% swap used (batch 48/78) -- pausing 3s for extra cleanup
    batch 51/78
    [swap-guard] 95.3% swap used (batch 51/78) -- pausing 3s for extra cleanup
    [swap-guard] 94.1% swap used (batch 54/78) -- pausing 3s for extra cleanup
    batch 56/78
    [swap-guard] 97.3% swap used (batch 57/78) -- pausing 3s for extra cleanup
    [swap-guard] 92.9% swap used (batch 60/78) -- pausing 3s for extra cleanup
    batch 61/78
    [swap-guard] 93.2% swap used (batch 63/78) -- pausing 3s for extra cleanup
    batch 66/78
    [swap-guard] 96.0% swap used (batch 66/78) -- pausing 3s for extra cleanup
    [swap-guard] 93.8% swap used (batch 69/78) -- pausing 3s for extra cleanup
    batch 71/78
    [swap-guard] 91.3% swap used (batch 72/78) -- pausing 3s for extra cleanup
    [swap-guard] 94.8% swap used (batch 75/78) -- pausing 3s for extra cleanup
    batch 76/78
    [swap-guard] 96.1% swap used (batch 78/78) -- pausing 3s for extra cleanup
    [swap-guard] 95.1% swap used (fold 1 epoch 5 val) -- pausing 3s for extra cleanup
  Ep   5/200  loss=0.6674  AUC=0.8152  AP=0.7851  smoothAUC=0.7706  (542.6s)
  ✓ Fold 1 new best smoothed AUC=0.7706  saved.
    batch 1/80
    [swap-guard] 93.9% swap used (batch 3/80) -- pausing 3s for extra cleanup
    batch 6/80
    [swap-guard] 93.3% swap used (batch 6/80) -- pausing 3s for extra cleanup
    [swap-guard] 93.6% swap used (batch 9/80) -- pausing 3s for extra cleanup
    batch 11/80
    [swap-guard] 97.3% swap used (batch 12/80) -- pausing 3s for extra cleanup
    [swap-guard] 98.5% swap used (batch 15/80) -- pausing 3s for extra cleanup
    batch 16/80
    [swap-guard] 97.6% swap used (batch 18/80) -- pausing 3s for extra cleanup
    batch 21/80
    [swap-guard] 97.3% swap used (batch 21/80) -- pausing 3s for extra cleanup
    [swap-guard] 91.5% swap used (batch 24/80) -- pausing 3s for extra cleanup
    batch 26/80
    [swap-guard] 93.8% swap used (batch 27/80) -- pausing 3s for extra cleanup
    [swap-guard] 92.6% swap used (batch 30/80) -- pausing 3s for extra cleanup
    batch 31/80
    [swap-guard] 95.6% swap used (batch 33/80) -- pausing 3s for extra cleanup
    batch 36/80
    [swap-guard] 95.3% swap used (batch 36/80) -- pausing 3s for extra cleanup
    [swap-guard] 95.3% swap used (batch 39/80) -- pausing 3s for extra cleanup
    batch 41/80
    [swap-guard] 91.0% swap used (batch 42/80) -- pausing 3s for extra cleanup
    [swap-guard] 94.4% swap used (batch 45/80) -- pausing 3s for extra cleanup
    batch 46/80
    [swap-guard] 94.7% swap used (batch 48/80) -- pausing 3s for extra cleanup
    batch 51/80
    [swap-guard] 94.6% swap used (batch 51/80) -- pausing 3s for extra cleanup
    [swap-guard] 94.8% swap used (batch 54/80) -- pausing 3s for extra cleanup
    batch 56/80
    [swap-guard] 95.2% swap used (batch 57/80) -- pausing 3s for extra cleanup
    [swap-guard] 91.5% swap used (batch 60/80) -- pausing 3s for extra cleanup
    batch 61/80
    [swap-guard] 96.3% swap used (batch 63/80) -- pausing 3s for extra cleanup
    batch 66/80
    [swap-guard] 96.2% swap used (batch 66/80) -- pausing 3s for extra cleanup
    [swap-guard] 94.5% swap used (batch 69/80) -- pausing 3s for extra cleanup
    batch 71/80
    [swap-guard] 94.1% swap used (batch 72/80) -- pausing 3s for extra cleanup
    [swap-guard] 95.0% swap used (batch 75/80) -- pausing 3s for extra cleanup
    batch 76/80
    [swap-guard] 94.5% swap used (batch 78/80) -- pausing 3s for extra cleanup
    [swap-guard] 91.7% swap used (epoch end) -- pausing 3s for extra cleanup
    [swap-guard] 97.6% swap used (fold 1 epoch 6 val) -- pausing 3s for extra cleanup
  Ep   6/200  loss=0.6168  AUC=0.7836  AP=0.7252  smoothAUC=0.7898  (490.3s)
  ✓ Fold 1 new best smoothed AUC=0.7898  saved.
    batch 1/78
    [swap-guard] 94.3% swap used (batch 3/78) -- pausing 3s for extra cleanup
    batch 6/78
    [swap-guard] 93.8% swap used (batch 6/78) -- pausing 3s for extra cleanup
    [swap-guard] 94.1% swap used (batch 9/78) -- pausing 3s for extra cleanup
    batch 11/78
    [swap-guard] 95.9% swap used (batch 15/78) -- pausing 3s for extra cleanup
    batch 16/78
    [swap-guard] 96.5% swap used (batch 18/78) -- pausing 3s for extra cleanup
    batch 21/78
    [swap-guard] 90.9% swap used (batch 21/78) -- pausing 3s for extra cleanup
    [swap-guard] 96.8% swap used (batch 24/78) -- pausing 3s for extra cleanup
    batch 26/78
    [swap-guard] 97.3% swap used (batch 27/78) -- pausing 3s for extra cleanup
    [swap-guard] 95.8% swap used (batch 30/78) -- pausing 3s for extra cleanup
    batch 31/78
    [swap-guard] 95.1% swap used (batch 33/78) -- pausing 3s for extra cleanup
    batch 36/78
    [swap-guard] 93.3% swap used (batch 36/78) -- pausing 3s for extra cleanup
    [swap-guard] 94.6% swap used (batch 39/78) -- pausing 3s for extra cleanup
    batch 41/78
    [swap-guard] 95.3% swap used (batch 42/78) -- pausing 3s for extra cleanup
    [swap-guard] 96.2% swap used (batch 45/78) -- pausing 3s for extra cleanup
    batch 46/78
    [swap-guard] 94.1% swap used (batch 48/78) -- pausing 3s for extra cleanup
    batch 51/78
    [swap-guard] 95.1% swap used (batch 51/78) -- pausing 3s for extra cleanup
    [swap-guard] 94.2% swap used (batch 54/78) -- pausing 3s for extra cleanup
    batch 56/78
    [swap-guard] 94.7% swap used (batch 57/78) -- pausing 3s for extra cleanup
    [swap-guard] 95.8% swap used (batch 60/78) -- pausing 3s for extra cleanup
    batch 61/78
    [swap-guard] 95.3% swap used (batch 63/78) -- pausing 3s for extra cleanup
    batch 66/78
    [swap-guard] 94.5% swap used (batch 66/78) -- pausing 3s for extra cleanup
    [swap-guard] 98.3% swap used (batch 69/78) -- pausing 3s for extra cleanup
    batch 71/78
    [swap-guard] 95.6% swap used (batch 72/78) -- pausing 3s for extra cleanup
    [swap-guard] 93.6% swap used (batch 75/78) -- pausing 3s for extra cleanup
    batch 76/78
    [swap-guard] 92.9% swap used (epoch end) -- pausing 3s for extra cleanup
    [swap-guard] 97.2% swap used (fold 1 epoch 7 val) -- pausing 3s for extra cleanup
  Ep   7/200  loss=0.5970  AUC=0.8246  AP=0.7830  smoothAUC=0.8078  (544.2s)
  ✓ Fold 1 new best smoothed AUC=0.8078  saved.
    batch 1/76
    [swap-guard] 96.8% swap used (batch 3/76) -- pausing 3s for extra cleanup
    batch 6/76
    [swap-guard] 96.8% swap used (batch 6/76) -- pausing 3s for extra cleanup
    [swap-guard] 96.6% swap used (batch 9/76) -- pausing 3s for extra cleanup
    batch 11/76
    [swap-guard] 95.6% swap used (batch 12/76) -- pausing 3s for extra cleanup
    [swap-guard] 95.9% swap used (batch 15/76) -- pausing 3s for extra cleanup
    batch 16/76
    [swap-guard] 97.3% swap used (batch 18/76) -- pausing 3s for extra cleanup
    batch 21/76
    [swap-guard] 92.3% swap used (batch 21/76) -- pausing 3s for extra cleanup
    [swap-guard] 95.6% swap used (batch 24/76) -- pausing 3s for extra cleanup
    batch 26/76
    [swap-guard] 96.1% swap used (batch 27/76) -- pausing 3s for extra cleanup
    [swap-guard] 97.1% swap used (batch 30/76) -- pausing 3s for extra cleanup
    batch 31/76
    [swap-guard] 97.0% swap used (batch 33/76) -- pausing 3s for extra cleanup
    batch 36/76
    [swap-guard] 92.8% swap used (batch 36/76) -- pausing 3s for extra cleanup
    [swap-guard] 96.1% swap used (batch 39/76) -- pausing 3s for extra cleanup
    batch 41/76
    [swap-guard] 93.5% swap used (batch 42/76) -- pausing 3s for extra cleanup
    [swap-guard] 93.8% swap used (batch 45/76) -- pausing 3s for extra cleanup
    batch 46/76
    [swap-guard] 97.2% swap used (batch 48/76) -- pausing 3s for extra cleanup
    batch 51/76
    [swap-guard] 93.9% swap used (batch 51/76) -- pausing 3s for extra cleanup
    [swap-guard] 96.2% swap used (batch 54/76) -- pausing 3s for extra cleanup
    batch 56/76
    [swap-guard] 90.9% swap used (batch 57/76) -- pausing 3s for extra cleanup
    [swap-guard] 94.5% swap used (batch 60/76) -- pausing 3s for extra cleanup
    batch 61/76
    [swap-guard] 96.3% swap used (batch 63/76) -- pausing 3s for extra cleanup
    batch 66/76
    [swap-guard] 97.3% swap used (batch 66/76) -- pausing 3s for extra cleanup
    [swap-guard] 92.2% swap used (batch 69/76) -- pausing 3s for extra cleanup
    batch 71/76
    [swap-guard] 94.5% swap used (batch 72/76) -- pausing 3s for extra cleanup
    [swap-guard] 97.7% swap used (batch 75/76) -- pausing 3s for extra cleanup
    batch 76/76
    [swap-guard] 93.0% swap used (epoch end) -- pausing 3s for extra cleanup
    [swap-guard] 96.8% swap used (fold 1 epoch 8 val) -- pausing 3s for extra cleanup
  Ep   8/200  loss=0.5599  AUC=0.7914  AP=0.7093  smoothAUC=0.7998  (517.7s)
    batch 1/77
    [swap-guard] 94.1% swap used (batch 3/77) -- pausing 3s for extra cleanup
    batch 6/77
    [swap-guard] 95.5% swap used (batch 6/77) -- pausing 3s for extra cleanup
    [swap-guard] 95.4% swap used (batch 9/77) -- pausing 3s for extra cleanup
    batch 11/77
    [swap-guard] 96.4% swap used (batch 12/77) -- pausing 3s for extra cleanup
    [swap-guard] 97.0% swap used (batch 15/77) -- pausing 3s for extra cleanup
    batch 16/77
    [swap-guard] 95.3% swap used (batch 18/77) -- pausing 3s for extra cleanup
    batch 21/77
    [swap-guard] 95.1% swap used (batch 21/77) -- pausing 3s for extra cleanup
    [swap-guard] 97.0% swap used (batch 24/77) -- pausing 3s for extra cleanup
    batch 26/77
    [swap-guard] 98.5% swap used (batch 27/77) -- pausing 3s for extra cleanup
    [swap-guard] 96.6% swap used (batch 30/77) -- pausing 3s for extra cleanup
    batch 31/77
    [swap-guard] 93.7% swap used (batch 33/77) -- pausing 3s for extra cleanup
    batch 36/77
    [swap-guard] 95.7% swap used (batch 36/77) -- pausing 3s for extra cleanup
    [swap-guard] 95.7% swap used (batch 39/77) -- pausing 3s for extra cleanup
    batch 41/77
    [swap-guard] 96.5% swap used (batch 42/77) -- pausing 3s for extra cleanup
    [swap-guard] 95.7% swap used (batch 45/77) -- pausing 3s for extra cleanup
    batch 46/77
    [swap-guard] 96.3% swap used (batch 48/77) -- pausing 3s for extra cleanup
    batch 51/77
    [swap-guard] 96.3% swap used (batch 51/77) -- pausing 3s for extra cleanup
    [swap-guard] 95.6% swap used (batch 54/77) -- pausing 3s for extra cleanup
    batch 56/77
    [swap-guard] 95.7% swap used (batch 57/77) -- pausing 3s for extra cleanup
    [swap-guard] 91.9% swap used (batch 60/77) -- pausing 3s for extra cleanup
    batch 61/77
    [swap-guard] 95.7% swap used (batch 63/77) -- pausing 3s for extra cleanup
    batch 66/77
    [swap-guard] 93.5% swap used (batch 66/77) -- pausing 3s for extra cleanup
    [swap-guard] 97.5% swap used (batch 69/77) -- pausing 3s for extra cleanup
    batch 71/77
    [swap-guard] 96.5% swap used (batch 72/77) -- pausing 3s for extra cleanup
    [swap-guard] 97.7% swap used (batch 75/77) -- pausing 3s for extra cleanup
    batch 76/77
    [swap-guard] 93.4% swap used (epoch end) -- pausing 3s for extra cleanup
    [swap-guard] 95.4% swap used (fold 1 epoch 9 val) -- pausing 3s for extra cleanup
  Ep   9/200  loss=0.5478  AUC=0.8166  AP=0.7474  smoothAUC=0.8108  (519.4s)
  ✓ Fold 1 new best smoothed AUC=0.8108  saved.
    batch 1/76
    [swap-guard] 97.2% swap used (batch 3/76) -- pausing 3s for extra cleanup
    batch 6/76
    [swap-guard] 94.3% swap used (batch 6/76) -- pausing 3s for extra cleanup
    [swap-guard] 98.5% swap used (batch 9/76) -- pausing 3s for extra cleanup
    batch 11/76
    [swap-guard] 97.1% swap used (batch 12/76) -- pausing 3s for extra cleanup
    [swap-guard] 96.7% swap used (batch 15/76) -- pausing 3s for extra cleanup
    batch 16/76
    [swap-guard] 97.3% swap used (batch 18/76) -- pausing 3s for extra cleanup
    batch 21/76
    [swap-guard] 94.5% swap used (batch 21/76) -- pausing 3s for extra cleanup
    [swap-guard] 93.7% swap used (batch 24/76) -- pausing 3s for extra cleanup
    batch 26/76
    [swap-guard] 94.9% swap used (batch 27/76) -- pausing 3s for extra cleanup
    [swap-guard] 95.0% swap used (batch 30/76) -- pausing 3s for extra cleanup
    batch 31/76
    [swap-guard] 94.8% swap used (batch 33/76) -- pausing 3s for extra cleanup
    batch 36/76
    [swap-guard] 94.4% swap used (batch 36/76) -- pausing 3s for extra cleanup
    [swap-guard] 96.2% swap used (batch 39/76) -- pausing 3s for extra cleanup
    batch 41/76
    [swap-guard] 93.9% swap used (batch 42/76) -- pausing 3s for extra cleanup
    [swap-guard] 95.5% swap used (batch 45/76) -- pausing 3s for extra cleanup
    batch 46/76
    [swap-guard] 94.3% swap used (batch 48/76) -- pausing 3s for extra cleanup
    batch 51/76
    [swap-guard] 97.1% swap used (batch 51/76) -- pausing 3s for extra cleanup
    [swap-guard] 98.1% swap used (batch 54/76) -- pausing 3s for extra cleanup
    batch 56/76
    [swap-guard] 97.5% swap used (batch 57/76) -- pausing 3s for extra cleanup
    [swap-guard] 94.8% swap used (batch 60/76) -- pausing 3s for extra cleanup
    batch 61/76
    [swap-guard] 95.6% swap used (batch 63/76) -- pausing 3s for extra cleanup
    batch 66/76
    [swap-guard] 96.2% swap used (batch 69/76) -- pausing 3s for extra cleanup
    batch 71/76
    [swap-guard] 98.4% swap used (batch 72/76) -- pausing 3s for extra cleanup
    [swap-guard] 92.8% swap used (batch 75/76) -- pausing 3s for extra cleanup
    batch 76/76
    [swap-guard] 96.9% swap used (batch 78/76) -- pausing 3s for extra cleanup
    [swap-guard] 94.7% swap used (epoch end) -- pausing 3s for extra cleanup
    [swap-guard] 97.0% swap used (fold 1 epoch 10 val) -- pausing 3s for extra cleanup
  Ep  10/200  loss=0.5280  AUC=0.8372  AP=0.7912  smoothAUC=0.8151  (485.5s)
  ✓ Fold 1 new best smoothed AUC=0.8151  saved.
    batch 1/78
    [swap-guard] 96.8% swap used (batch 3/78) -- pausing 3s for extra cleanup
    batch 6/78
    [swap-guard] 94.7% swap used (batch 6/78) -- pausing 3s for extra cleanup
    [swap-guard] 95.5% swap used (batch 9/78) -- pausing 3s for extra cleanup
    batch 11/78
    [swap-guard] 93.9% swap used (batch 12/78) -- pausing 3s for extra cleanup
    [swap-guard] 96.9% swap used (batch 15/78) -- pausing 3s for extra cleanup
    batch 16/78
    [swap-guard] 96.3% swap used (batch 18/78) -- pausing 3s for extra cleanup
    batch 21/78
    [swap-guard] 98.0% swap used (batch 21/78) -- pausing 3s for extra cleanup
    [swap-guard] 96.7% swap used (batch 24/78) -- pausing 3s for extra cleanup
    batch 26/78
    [swap-guard] 97.7% swap used (batch 27/78) -- pausing 3s for extra cleanup
    [swap-guard] 92.7% swap used (batch 30/78) -- pausing 3s for extra cleanup
    batch 31/78
    [swap-guard] 96.1% swap used (batch 33/78) -- pausing 3s for extra cleanup
    batch 36/78
    [swap-guard] 95.4% swap used (batch 36/78) -- pausing 3s for extra cleanup
    [swap-guard] 95.7% swap used (batch 39/78) -- pausing 3s for extra cleanup
    batch 41/78
    [swap-guard] 98.0% swap used (batch 42/78) -- pausing 3s for extra cleanup
    [swap-guard] 97.2% swap used (batch 45/78) -- pausing 3s for extra cleanup
    batch 46/78
    [swap-guard] 95.6% swap used (batch 48/78) -- pausing 3s for extra cleanup
    batch 51/78
    [swap-guard] 96.6% swap used (batch 51/78) -- pausing 3s for extra cleanup
    [swap-guard] 94.3% swap used (batch 54/78) -- pausing 3s for extra cleanup
    batch 56/78
    [swap-guard] 96.1% swap used (batch 57/78) -- pausing 3s for extra cleanup
    [swap-guard] 94.4% swap used (batch 60/78) -- pausing 3s for extra cleanup
    batch 61/78
    [swap-guard] 91.3% swap used (batch 63/78) -- pausing 3s for extra cleanup
    batch 66/78
    [swap-guard] 95.7% swap used (batch 66/78) -- pausing 3s for extra cleanup
    [swap-guard] 95.9% swap used (batch 69/78) -- pausing 3s for extra cleanup
    batch 71/78
    [swap-guard] 96.1% swap used (batch 72/78) -- pausing 3s for extra cleanup
    [swap-guard] 94.0% swap used (batch 75/78) -- pausing 3s for extra cleanup
    batch 76/78
    [swap-guard] 95.3% swap used (batch 78/78) -- pausing 3s for extra cleanup
    [swap-guard] 93.1% swap used (epoch end) -- pausing 3s for extra cleanup
    [swap-guard] 97.4% swap used (fold 1 epoch 11 val) -- pausing 3s for extra cleanup
  Ep  11/200  loss=0.5212  AUC=0.8439  AP=0.8048  smoothAUC=0.8326  (544.1s)
  ✓ Fold 1 new best smoothed AUC=0.8326  saved.
    batch 1/78
    [swap-guard] 96.0% swap used (batch 3/78) -- pausing 3s for extra cleanup
    batch 6/78
    [swap-guard] 96.1% swap used (batch 6/78) -- pausing 3s for extra cleanup
    [swap-guard] 97.5% swap used (batch 9/78) -- pausing 3s for extra cleanup
    batch 11/78
    [swap-guard] 94.3% swap used (batch 12/78) -- pausing 3s for extra cleanup
    [swap-guard] 96.8% swap used (batch 15/78) -- pausing 3s for extra cleanup
    batch 16/78
    [swap-guard] 95.9% swap used (batch 18/78) -- pausing 3s for extra cleanup
    batch 21/78
    [swap-guard] 95.1% swap used (batch 21/78) -- pausing 3s for extra cleanup
    [swap-guard] 96.8% swap used (batch 24/78) -- pausing 3s for extra cleanup
    batch 26/78
    [swap-guard] 97.2% swap used (batch 27/78) -- pausing 3s for extra cleanup
    [swap-guard] 95.8% swap used (batch 30/78) -- pausing 3s for extra cleanup
    batch 31/78
    [swap-guard] 98.1% swap used (batch 33/78) -- pausing 3s for extra cleanup
    batch 36/78
    [swap-guard] 97.4% swap used (batch 36/78) -- pausing 3s for extra cleanup
    [swap-guard] 97.0% swap used (batch 39/78) -- pausing 3s for extra cleanup
    batch 41/78
    [swap-guard] 94.8% swap used (batch 42/78) -- pausing 3s for extra cleanup
    [swap-guard] 95.9% swap used (batch 45/78) -- pausing 3s for extra cleanup
    batch 46/78
    [swap-guard] 96.8% swap used (batch 48/78) -- pausing 3s for extra cleanup
    batch 51/78
    [swap-guard] 95.3% swap used (batch 51/78) -- pausing 3s for extra cleanup
    [swap-guard] 94.4% swap used (batch 54/78) -- pausing 3s for extra cleanup
    batch 56/78
    [swap-guard] 97.0% swap used (batch 57/78) -- pausing 3s for extra cleanup
    [swap-guard] 97.8% swap used (batch 60/78) -- pausing 3s for extra cleanup
    batch 61/78
    [swap-guard] 94.6% swap used (batch 63/78) -- pausing 3s for extra cleanup
    batch 66/78
    [swap-guard] 95.7% swap used (batch 66/78) -- pausing 3s for extra cleanup
    [swap-guard] 94.7% swap used (batch 69/78) -- pausing 3s for extra cleanup
    batch 71/78
    [swap-guard] 97.7% swap used (batch 72/78) -- pausing 3s for extra cleanup
    [swap-guard] 97.0% swap used (batch 75/78) -- pausing 3s for extra cleanup
    batch 76/78
    [swap-guard] 97.8% swap used (batch 78/78) -- pausing 3s for extra cleanup
    [swap-guard] 92.3% swap used (epoch end) -- pausing 3s for extra cleanup
    [swap-guard] 96.1% swap used (fold 1 epoch 12 val) -- pausing 3s for extra cleanup
