
==================================================================
[2026-08-06 01:28:13] Starting training (attempt 1/3, start_fold=0)
==================================================================
[2026-08-06 01:28:13] Training PID=47219 started (start_fold=0, attempt=1)
[130m0s] Ep  20/200  loss=1.1024  AUC=0.5980  AP=0.8201  (86.2s)
[131m0s] Ep  20/200  loss=1.1024  AUC=0.5980  AP=0.8201  (86.2s)
[132m1s] Ep  21/200  loss=1.0520  AUC=0.5805  AP=0.8030  (110.4s)
[133m1s] Ep  22/200  loss=1.0894  AUC=0.6204  AP=0.8071  (88.1s)
[134m1s] Ep  22/200  loss=1.0894  AUC=0.6204  AP=0.8071  (88.1s)
[135m1s] Ep  23/200  loss=1.0986  AUC=0.6303  AP=0.8243  (104.2s)
[136m1s] Ep  23/200  loss=1.0986  AUC=0.6303  AP=0.8243  (104.2s)
[137m1s] Ep  24/200  loss=1.0682  AUC=0.6367  AP=0.8264  (99.1s)
[138m1s] Ep  25/200  loss=1.0708  AUC=0.6257  AP=0.8272  (93.1s)
[139m1s] Ep  25/200  loss=1.0708  AUC=0.6257  AP=0.8272  (93.1s)
[140m1s] Ep  26/200  loss=1.0371  AUC=0.6068  AP=0.8153  (95.5s)
[141m1s] Ep  27/200  loss=0.9852  AUC=0.6322  AP=0.8280  (89.8s)
[142m1s] Ep  27/200  loss=0.9852  AUC=0.6322  AP=0.8280  (89.8s)
[143m1s] Ep  28/200  loss=1.0164  AUC=0.6152  AP=0.8382  (92.5s)
[144m1s] Ep  29/200  loss=1.0067  AUC=0.6148  AP=0.8343  (92.5s)
[145m1s] Ep  29/200  loss=1.0067  AUC=0.6148  AP=0.8343  (92.5s)
[146m1s] Ep  30/200  loss=0.9683  AUC=0.6338  AP=0.8378  (104.6s)
[147m2s] Ep  30/200  loss=0.9683  AUC=0.6338  AP=0.8378  (104.6s)
[148m2s] Ep  31/200  loss=1.0302  AUC=0.5987  AP=0.8169  (87.3s)
[149m2s] Ep  32/200  loss=0.9603  AUC=0.5851  AP=0.8073  (83.1s)
[150m2s] Ep  32/200  loss=0.9603  AUC=0.5851  AP=0.8073  (83.1s)
[151m2s] Ep  33/200  loss=0.9983  AUC=0.5992  AP=0.8138  (104.0s)
[152m2s] Ep  33/200  loss=0.9983  AUC=0.5992  AP=0.8138  (104.0s)
[153m2s] Ep  34/200  loss=0.9957  AUC=0.6066  AP=0.8217  (133.5s)
[154m2s] Ep  34/200  loss=0.9957  AUC=0.6066  AP=0.8217  (133.5s)
[155m2s] Ep  35/200  loss=0.9448  AUC=0.6096  AP=0.8254  (101.9s)
[156m2s] Ep  36/200  loss=0.9467  AUC=0.6154  AP=0.8278  (98.0s)
[157m2s] Ep  36/200  loss=0.9467  AUC=0.6154  AP=0.8278  (98.0s)
[158m3s] Ep  37/200  loss=0.9520  AUC=0.6122  AP=0.8274  (109.6s)
[159m3s] Ep  37/200  loss=0.9520  AUC=0.6122  AP=0.8274  (109.6s)
[160m3s] Ep  38/200  loss=0.9367  AUC=0.5984  AP=0.8201  (106.3s)
[161m3s] Ep  39/200  loss=0.9460  AUC=0.5977  AP=0.8161  (94.1s)
[162m3s] Ep  39/200  loss=0.9460  AUC=0.5977  AP=0.8161  (94.1s)
[163m3s] Ep  40/200  loss=0.9591  AUC=0.6094  AP=0.8227  (92.0s)
[164m3s] Ep  40/200  loss=0.9591  AUC=0.6094  AP=0.8227  (92.0s)
[165m3s] Ep  41/200  loss=0.9089  AUC=0.6095  AP=0.8242  (92.9s)
[166m3s] Ep  42/200  loss=0.9209  AUC=0.6205  AP=0.8338  (96.5s)
[167m3s] Ep  42/200  loss=0.9209  AUC=0.6205  AP=0.8338  (96.5s)
[168m4s] Ep  43/200  loss=0.9283  AUC=0.6089  AP=0.8327  (83.8s)

┌──────────────────────────────────────────────────────────────┐
│  FOLD 2/5 COMPLETE                                          │
│  Best val AUC: 0.6367   Test AUC: 0.5457   Test AP: 0.7458
│  Elapsed: 169m 4s   Est. remaining: 253m
└──────────────────────────────────────────────────────────────┘
[169m4s] Ep  44/200  loss=0.9245  AUC=0.6085  AP=0.8311  (100.4s)
[170m4s] Ep  44/200  loss=0.9245  AUC=0.6085  AP=0.8311  (100.4s)
[171m4s] Ep   1/200  loss=1.6485  AUC=0.5585  AP=0.7661  (125.3s)
[172m4s] Ep   1/200  loss=1.6485  AUC=0.5585  AP=0.7661  (125.3s)
[173m4s] Ep   1/200  loss=1.6485  AUC=0.5585  AP=0.7661  (125.3s)
[174m4s] Ep   2/200  loss=1.6382  AUC=0.5721  AP=0.7732  (150.1s)
[175m4s] Ep   2/200  loss=1.6382  AUC=0.5721  AP=0.7732  (150.1s)
[176m4s] Ep   3/200  loss=1.5640  AUC=0.5441  AP=0.7741  (150.5s)
[177m4s] Ep   3/200  loss=1.5640  AUC=0.5441  AP=0.7741  (150.5s)
[178m4s] Ep   3/200  loss=1.5640  AUC=0.5441  AP=0.7741  (150.5s)
[179m4s] Ep   4/200  loss=1.5290  AUC=0.5431  AP=0.7693  (152.8s)
